marca,clase,provincia,cantidad
BMW,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,5
FORMOSA,Motocicleta,GUAYAS,5
BMA,Motocicleta,CAÑAR,5
KINGDOM,Motocicleta,AZUAY,5
KOSHIN,Motocicleta,LOJA,5
YASAKI,Motocicleta,GALÁPAGOS,5
JINCHENG,Motocicleta,COTOPAXI,5
JIANSHE,Motocicleta,PASTAZA,5
SKYGO,Motocicleta,CARCHI,5
JIALING,Motocicleta,BOLÍVAR,5
BAJAJ,Motocicleta,MORONA SANTIAGO,5
DAKAR,Motocicleta,COTOPAXI,5
YASAKI,Motocicleta,EL ORO,5
SKYGO,Motocicleta,LOJA,5
TEKNO,Motocicleta,CHIMBORAZO,4
YAMOTO,Motocicleta,AZUAY,4
ZANYA,Motocicleta,COTOPAXI,4
DUCAR,Motocicleta,BOLÍVAR,4
SINSKI,Motocicleta,TUNGURAHUA,4
DAYANG,Motocicleta,IMBABURA,4
JIEDA,Motocicleta,CHIMBORAZO,4
BAJAJ,Motocicleta,CAÑAR,4
KOSHIN,Motocicleta,CARCHI,4
KTM,Motocicleta,CARCHI,4
SINSKI,Motocicleta,CAÑAR,4
LONCIN,Motocicleta,SANTA ELENA,4
THUNDER,Motocicleta,EL ORO,4
KINGDOM,Motocicleta,COTOPAXI,4
QINGQI,Motocicleta,BOLÍVAR,4
VYCAST,Motocicleta,COTOPAXI,4
BAJAJ,Motocicleta,ORELLANA,4
TEKNO,Motocicleta,CARCHI,4
PEGASO,Motocicleta,SANTA ELENA,4
BMW,Motocicleta,LOJA,4
SINSKI,Motocicleta,BOLÍVAR,4
KAWASAKI,Motocicleta,CHIMBORAZO,4
SUKIDA,Motocicleta,LOS RÍOS,4
HUSSAR,Motocicleta,BOLÍVAR,4
KINLON,Motocicleta,MANABÍ,4
NIMBUS,Motocicleta,BOLÍVAR,4
LIFAN,Motocicleta,GALÁPAGOS,4
KINGDOM,Motocicleta,CHIMBORAZO,4
OKAZAKI,Motocicleta,AZUAY,4
KINLON,Motocicleta,PICHINCHA,4
JIEDA,Motocicleta,AZUAY,4
OKAZAKI,Motocicleta,GUAYAS,4
JIEDA,Motocicleta,COTOPAXI,4
MACAT,Motocicleta,AZUAY,4
LAMBORBINI,Motocicleta,SUCUMBÍOS,4
KINLON,Motocicleta,AZUAY,4
LONCIN,Motocicleta,COTOPAXI,4
JINCHENG,Motocicleta,BOLÍVAR,4
SINSKI,Motocicleta,CHIMBORAZO,4
VESPA,Motocicleta,IMBABURA,4
KAWASAKI,Motocicleta,PASTAZA,4
GALARDI,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,4
JINCHENG,Motocicleta,TUNGURAHUA,4
HUSSAR,Motocicleta,AZUAY,4
DAYANG,Motocicleta,AZUAY,4
SUKIDA,Motocicleta,SANTA ELENA,4
SUKIDA,Motocicleta,ESMERALDAS,3
DUCAR,Motocicleta,CHIMBORAZO,3
SUKIDA,Motocicleta,IMBABURA,3
JIEDA,Motocicleta,NAPO,3
LONGJIA,Motocicleta,TUNGURAHUA,3
TOYOTA,Motocicleta,GALÁPAGOS,3
SRM,Motocicleta,SANTA ELENA,3
SINSKI,Motocicleta,LOJA,3
AMAZON,Motocicleta,NAPO,3
HUSSAR,Motocicleta,GALÁPAGOS,3
AXXO,Motocicleta,BOLÍVAR,3
ORO MOTO,Motocicleta,PASTAZA,3
TEKNO,Motocicleta,IMBABURA,3
PEGASO,Motocicleta,CHIMBORAZO,3
DAYANG,Motocicleta,ORELLANA,3
AXXO,Motocicleta,CARCHI,3
JINCHENG,Motocicleta,CHIMBORAZO,3
SKYGO,Motocicleta,SUCUMBÍOS,3
LAMBORBINI,Motocicleta,CARCHI,3
AMAZON,Motocicleta,GALÁPAGOS,3
SRM,Motocicleta,LOJA,3
JIANSHE,Motocicleta,CHIMBORAZO,3
JIALING,Motocicleta,PASTAZA,3
QMC,Motocicleta,TUNGURAHUA,3
GALARDI,Motocicleta,SUCUMBÍOS,3
MICARGI,Motocicleta,MORONA SANTIAGO,3
YASAKI,Motocicleta,IMBABURA,3
NIMBUS,Motocicleta,PICHINCHA,3
AXXO,Motocicleta,CHIMBORAZO,3
SUKIDA,Motocicleta,TUNGURAHUA,3
BMW,Motocicleta,GUAYAS,3
LIFAN,Motocicleta,ZAMORA CHINCHIPE,3
LIFAN,Motocicleta,SUCUMBÍOS,3
KAWASAKI,Motocicleta,CARCHI,3
LONCIN,Motocicleta,SUCUMBÍOS,3
GALARDI,Motocicleta,ESMERALDAS,3
KTM,Motocicleta,EL ORO,3
LIFAN,Motocicleta,TUNGURAHUA,3
AMAZON,Motocicleta,PASTAZA,3
THUNDER,Motocicleta,ESMERALDAS,3
JINCHENG,Motocicleta,AZUAY,3
THUNDER,Motocicleta,MANABÍ,3
QMC,Motocicleta,BOLÍVAR,3
JIEDA,Motocicleta,BOLÍVAR,3
LIFAN,Motocicleta,MORONA SANTIAGO,3
HYUNDAI,Motocicleta,CAÑAR,3
JIANSHE,Motocicleta,GALÁPAGOS,3
MACAT,Motocicleta,IMBABURA,3
SUKIDA,Motocicleta,GALÁPAGOS,3
KINLON,Motocicleta,ORELLANA,3
BMW,Motocicleta,IMBABURA,3
QMC,Motocicleta,COTOPAXI,3
KINGDOM,Motocicleta,PICHINCHA,3
VESPA,Motocicleta,EL ORO,3
NIMBUS,Motocicleta,AZUAY,3
TEKNO,Motocicleta,GALÁPAGOS,3
YASAKI,Motocicleta,BOLÍVAR,3
LAMBORBINI,Motocicleta,IMBABURA,3
KTM,Motocicleta,CAÑAR,3
LAMBORBINI,Motocicleta,COTOPAXI,3
NIMBUS,Motocicleta,GALÁPAGOS,3
SKYGO,Motocicleta,AZUAY,3
JIEDA,Motocicleta,TUNGURAHUA,3
QMC,Motocicleta,IMBABURA,3
OKAZAKI,Motocicleta,TUNGURAHUA,3
SHINERAY,Motocicleta,GALÁPAGOS,3
LINGKEN,Motocicleta,PASTAZA,2
GALARDI,Motocicleta,GALÁPAGOS,2
LIFAN,Motocicleta,CARCHI,2
OSAKA,Motocicleta,COTOPAXI,2
TRAXX,Motocicleta,GALÁPAGOS,2
LIFAN,Motocicleta,BOLÍVAR,2
JINCHENG,Motocicleta,IMBABURA,2
TEKNO,Motocicleta,NAPO,2
SKYGO,Motocicleta,ZAMORA CHINCHIPE,2
AMAZON,Motocicleta,COTOPAXI,2
GALARDI,Motocicleta,BOLÍVAR,2
LONGJIA,Motocicleta,SUCUMBÍOS,2
MACAT,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,2
SRM,Motocicleta,PICHINCHA,2
YASAKI,Motocicleta,ORELLANA,2
SUKIDA,Motocicleta,AZUAY,2
KOSHIN,Motocicleta,TUNGURAHUA,2
SINSKI,Motocicleta,CARCHI,2
ORO MOTO,Motocicleta,TUNGURAHUA,2
AXXO,Motocicleta,MORONA SANTIAGO,2
JIANSHE,Motocicleta,NAPO,2
DAYANG,Motocicleta,CHIMBORAZO,2
BMA,Motocicleta,GALÁPAGOS,2
YASAKI,Motocicleta,TUNGURAHUA,2
LML,Motocicleta,IMBABURA,2
MACAT,Motocicleta,PICHINCHA,2
RANGER,Motocicleta,GALÁPAGOS,2
BMA,Motocicleta,SUCUMBÍOS,2
MICARGI,Motocicleta,ZAMORA CHINCHIPE,2
DAKAR,Motocicleta,BOLÍVAR,2
KINGDOM,Motocicleta,IMBABURA,2
HARLEY DAVIDSON,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,2
VYCAST,Motocicleta,BOLÍVAR,2
YAMOTO,Motocicleta,LOJA,2
KINGDOM,Motocicleta,SUCUMBÍOS,2
LML,Motocicleta,SANTA ELENA,2
DAYANG,Motocicleta,BOLÍVAR,2
HYUNDAI,Motocicleta,CARCHI,2
LONGJIA,Motocicleta,GALÁPAGOS,2
KINLON,Motocicleta,BOLÍVAR,2
JIALING,Motocicleta,NAPO,2
DAYANG,Motocicleta,ZAMORA CHINCHIPE,2
KTM,Motocicleta,BOLÍVAR,2
KINLON,Motocicleta,LOJA,2
VYCAST,Motocicleta,PICHINCHA,2
BMW,Motocicleta,TUNGURAHUA,2
DAYUN,Motocicleta,ESMERALDAS,2
KINLON,Motocicleta,ESMERALDAS,2
JIANSHE,Motocicleta,SANTA ELENA,2
JIEDA,Motocicleta,ORELLANA,2
SINSKI,Motocicleta,SUCUMBÍOS,2
OSAKA,Motocicleta,ESMERALDAS,2
FORMOSA,Motocicleta,LOS RÍOS,2
LML,Motocicleta,BOLÍVAR,2
LINGKEN,Motocicleta,PICHINCHA,2
VESPA,Motocicleta,AZUAY,2
HYUNDAI,Motocicleta,ORELLANA,2
BAJAJ,Motocicleta,COTOPAXI,2
DAKAR,Motocicleta,AZUAY,2
OSAKA,Motocicleta,SUCUMBÍOS,2
LINGKEN,Motocicleta,IMBABURA,2
VESPA,Motocicleta,COTOPAXI,2
OSAKA,Motocicleta,LOJA,2
HYUNDAI,Motocicleta,COTOPAXI,2
SANYA,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,2
MACAT,Motocicleta,ESMERALDAS,2
JIALING,Motocicleta,GALÁPAGOS,2
MICARGI,Motocicleta,CAÑAR,2
SKYGO,Motocicleta,IMBABURA,2
LIFAN,Motocicleta,LOJA,2
LINGKEN,Motocicleta,CAÑAR,2
PEGASO,Motocicleta,BOLÍVAR,2
PEGASO,Motocicleta,TUNGURAHUA,2
DUCAR,Motocicleta,GALÁPAGOS,2
ORO MOTO,Motocicleta,ORELLANA,2
SKYGO,Motocicleta,BOLÍVAR,2
JIEDA,Motocicleta,PASTAZA,2
JIANSHE,Motocicleta,BOLÍVAR,2
LML,Motocicleta,AZUAY,2
NIMBUS,Motocicleta,NAPO,2
GALARDI,Motocicleta,CHIMBORAZO,2
DONGFENG,Motocicleta,LOS RÍOS,2
HARLEY DAVIDSON,Motocicleta,CHIMBORAZO,2
DAYANG,Motocicleta,EL ORO,2
NIMBUS,Motocicleta,CAÑAR,2
KAWASAKI,Motocicleta,SANTA ELENA,2
DAYTONA,Motocicleta,BOLÍVAR,2
TEKNO,Motocicleta,TUNGURAHUA,2
THUNDER,Motocicleta,GUAYAS,2
VESPA,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,2
KINLON,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,2
TOYOTA,Motocicleta,EL ORO,2
YASAKI,Motocicleta,CHIMBORAZO,2
DUCAR,Motocicleta,IMBABURA,2
YASAKI,Motocicleta,SUCUMBÍOS,2
VESPA,Motocicleta,CARCHI,2
KINLON,Motocicleta,COTOPAXI,2
YASAKI,Motocicleta,ESMERALDAS,2
HARLEY DAVIDSON,Motocicleta,IMBABURA,2
YASAKI,Motocicleta,AZUAY,2
KINGDOM,Motocicleta,TUNGURAHUA,2
SUKIDA,Motocicleta,COTOPAXI,2
ZANYA,Motocicleta,PICHINCHA,1
YAMOTO,Motocicleta,CARCHI,1
KAWASAKI,Motocicleta,GALÁPAGOS,1
DAYANG,Motocicleta,LOJA,1
TOYOTA,Motocicleta,CAÑAR,1
KAWASAKI,Motocicleta,ZAMORA CHINCHIPE,1
THUNDER,Motocicleta,LOJA,1
JIEDA,Motocicleta,MORONA SANTIAGO,1
VESPA,Motocicleta,GALÁPAGOS,1
DAYUN,Motocicleta,PICHINCHA,1
TEKNO,Motocicleta,ORELLANA,1
JINCHENG,Motocicleta,NAPO,1
VESPA,Motocicleta,ESMERALDAS,1
LINGKEN,Motocicleta,TUNGURAHUA,1
KOSHIN,Motocicleta,NAPO,1
DAYUN,Motocicleta,CHIMBORAZO,1
KTM,Motocicleta,MORONA SANTIAGO,1
LINGKEN,Motocicleta,ZAMORA CHINCHIPE,1
OKAZAKI,Motocicleta,ZAMORA CHINCHIPE,1
GALARDI,Motocicleta,PASTAZA,1
LAMBORBINI,Motocicleta,PASTAZA,1
JINCHENG,Motocicleta,ORELLANA,1
HYUNDAI,Motocicleta,SANTA ELENA,1
BMA,Motocicleta,TUNGURAHUA,1
ORO MOTO,Motocicleta,IMBABURA,1
BMW,Motocicleta,CHIMBORAZO,1
LONCIN,Motocicleta,ORELLANA,1
KINGDOM,Motocicleta,ZAMORA CHINCHIPE,1
SUKIDA,Motocicleta,CHIMBORAZO,1
BAJAJ,Motocicleta,CARCHI,1
LML,Motocicleta,COTOPAXI,1
ZANYA,Motocicleta,GUAYAS,1
THUNDER,Motocicleta,ORELLANA,1
VYCAST,Motocicleta,SUCUMBÍOS,1
NIMBUS,Motocicleta,LOJA,1
KINGDOM,Motocicleta,SANTA ELENA,1
BMW,Motocicleta,EL ORO,1
BAJAJ,Motocicleta,BOLÍVAR,1
SANYA,Motocicleta,MANABÍ,1
MICARGI,Motocicleta,BOLÍVAR,1
ZANYA,Motocicleta,BOLÍVAR,1
SRM,Motocicleta,CAÑAR,1
MICARGI,Motocicleta,PASTAZA,1
FORMOSA,Motocicleta,CAÑAR,1
HARLEY DAVIDSON,Motocicleta,NAPO,1
SINSKI,Motocicleta,ORELLANA,1
DUCAR,Motocicleta,MORONA SANTIAGO,1
MACAT,Motocicleta,COTOPAXI,1
YAMOTO,Motocicleta,PICHINCHA,1
OKAZAKI,Motocicleta,NAPO,1
LAMBORBINI,Motocicleta,LOJA,1
LAMBORBINI,Motocicleta,AZUAY,1
HYUNDAI,Motocicleta,GALÁPAGOS,1
KTM,Motocicleta,GUAYAS,1
OSAKA,Motocicleta,MORONA SANTIAGO,1
LAMBORBINI,Motocicleta,PICHINCHA,1
SANYA,Motocicleta,LOJA,1
LAMBORBINI,Motocicleta,TUNGURAHUA,1
TOYOTA,Motocicleta,BOLÍVAR,1
SKYGO,Motocicleta,CHIMBORAZO,1
CHEVROLET,Motocicleta,GUAYAS,1
DONGFENG,Motocicleta,SANTA ELENA,1
KOSHIN,Motocicleta,SANTA ELENA,1
SINSKI,Motocicleta,NAPO,1
HYUNDAI,Motocicleta,CHIMBORAZO,1
DONGFENG,Motocicleta,EL ORO,1
YAMOTO,Motocicleta,CHIMBORAZO,1
VESPA,Motocicleta,CHIMBORAZO,1
LINGKEN,Motocicleta,SANTA ELENA,1
OSAKA,Motocicleta,CARCHI,1
TOYOTA,Motocicleta,MANABÍ,1
BMA,Motocicleta,PASTAZA,1
OSAKA,Motocicleta,ORELLANA,1
HARLEY DAVIDSON,Motocicleta,ORELLANA,1
TEKNO,Motocicleta,LOJA,1
DAYANG,Motocicleta,TUNGURAHUA,1
THUNDER,Motocicleta,TUNGURAHUA,1
KINGDOM,Motocicleta,BOLÍVAR,1
SRM,Motocicleta,ESMERALDAS,1
GALARDI,Motocicleta,ORELLANA,1
GALARDI,Motocicleta,COTOPAXI,1
LML,Motocicleta,TUNGURAHUA,1
DAKAR,Motocicleta,LOJA,1
LONGJIA,Motocicleta,BOLÍVAR,1
DUCAR,Motocicleta,ORELLANA,1
HUSSAR,Motocicleta,ZAMORA CHINCHIPE,1
OSAKA,Motocicleta,PICHINCHA,1
HYUNDAI,Motocicleta,ZAMORA CHINCHIPE,1
KAWASAKI,Motocicleta,MORONA SANTIAGO,1
AMAZON,Motocicleta,ZAMORA CHINCHIPE,1
LONCIN,Motocicleta,ZAMORA CHINCHIPE,1
BMA,Motocicleta,CARCHI,1
TEKNO,Motocicleta,SUCUMBÍOS,1
AXXO,Motocicleta,NAPO,1
DAKAR,Motocicleta,TUNGURAHUA,1
DUCAR,Motocicleta,ZAMORA CHINCHIPE,1
HYUNDAI,Motocicleta,LOJA,1
SRM,Motocicleta,ZAMORA CHINCHIPE,1
VYCAST,Motocicleta,GUAYAS,1
CHEVROLET,Motocicleta,CARCHI,1
DAYANG,Motocicleta,SUCUMBÍOS,1
MAZDA,Motocicleta,PICHINCHA,1
TOYOTA,Motocicleta,PICHINCHA,1
DAYUN,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,1
AMAZON,Motocicleta,CHIMBORAZO,1
LAMBORBINI,Motocicleta,ZAMORA CHINCHIPE,1
DAYUN,Motocicleta,EL ORO,1
SRM,Motocicleta,GALÁPAGOS,1
KTM,Motocicleta,NAPO,1
HYUNDAI,Motocicleta,MORONA SANTIAGO,1
ZANYA,Motocicleta,MANABÍ,1
BMA,Motocicleta,CHIMBORAZO,1
QINGQI,Motocicleta,GALÁPAGOS,1
DAYUN,Motocicleta,CAÑAR,1
YASAKI,Motocicleta,LOJA,1
DUCAR,Motocicleta,SANTA ELENA,1
DAYANG,Motocicleta,NAPO,1
SANYA,Motocicleta,ESMERALDAS,1
QINGQI,Motocicleta,IMBABURA,1
KTM,Motocicleta,PASTAZA,1
BAJAJ,Motocicleta,CHIMBORAZO,1
YAMOTO,Motocicleta,BOLÍVAR,1
TEKNO,Motocicleta,PASTAZA,1
KTM,Motocicleta,SUCUMBÍOS,1
JINCHENG,Motocicleta,LOJA,1
LONGJIA,Motocicleta,CHIMBORAZO,1
TVS,Motocicleta,PICHINCHA,1
TOYOTA,Motocicleta,ESMERALDAS,1
ORO MOTO,Motocicleta,ZAMORA CHINCHIPE,1
HUSSAR,Motocicleta,MORONA SANTIAGO,1
THUNDER,Motocicleta,AZUAY,1
SUKIDA,Motocicleta,EL ORO,1
SRM,Motocicleta,COTOPAXI,1
LINGKEN,Motocicleta,AZUAY,1
LML,Motocicleta,CHIMBORAZO,1
JINCHENG,Motocicleta,PASTAZA,1
THUNDER,Motocicleta,PASTAZA,1
BAJAJ,Motocicleta,NAPO,1
AMAZON,Motocicleta,BOLÍVAR,1
HARLEY DAVIDSON,Motocicleta,COTOPAXI,1
YASAKI,Motocicleta,PASTAZA,1
HARLEY DAVIDSON,Motocicleta,EL ORO,1
SUKIDA,Motocicleta,SUCUMBÍOS,1
KINGDOM,Motocicleta,LOJA,1
DONGFENG,Motocicleta,LOJA,1
LADA,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,1
TOYOTA,Motocicleta,SANTO DOMINGO DE LOS TSÁCHILAS,1
KINGDOM,Motocicleta,CARCHI,1
SANYA,Motocicleta,IMBABURA,1
GALARDI,Motocicleta,EL ORO,1
LINGKEN,Motocicleta,SUCUMBÍOS,1
LML,Motocicleta,NAPO,1
MICARGI,Motocicleta,NAPO,1
SRM,Motocicleta,AZUAY,1
